state,visited
Alabama,0
Alaska,1
Arkansas,1
Arizona,5
California,1
Colorado,1
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,1
Iowa,1
Idaho,1
Illinois,1
Indiana,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,0
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,1
Missouri,1
Mississippi,0
Montana,1
North Carolina,1
North Dakota,1
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,1
Nevada,1
New York,1
Ohio,1
Oklahoma,1
Oregon,1
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,1
Texas,1
Utah,1
Virginia,1
Vermont,1
Washington,1
Wisconsin,1
West Virginia,1
Wyoming,1
